strains,species,species_color,strains2,diversity2,color2
Pseudomonas_aeruginosa_AZPAE14919_2516,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14919_2516,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN18971_2086,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN18971_2086,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_14672_3308,aeruginosa,#D7261C,Pseudomonas_aeruginosa_14672_3308,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_SMC4386_3621,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SMC4386_3621,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA4_7118,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA4_7118,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_18A_661,aeruginosa,#D7261C,Pseudomonas_aeruginosa_18A_661,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_S829_C17_RS_5883,aeruginosa,#D7261C,Pseudomonas_aeruginosa_S829_C17_RS_5883,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN26263_10498,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN26263_10498,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HUM-257_9792,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HUM-257_9792,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AU17550_3959,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AU17550_3959,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS066_10222,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS066_10222,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HIAE_PA08_7210,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HIAE_PA08_7210,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_JYH8_10055,aeruginosa,#D7261C,Pseudomonas_aeruginosa_JYH8_10055,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_1_10845,aeruginosa,#D7261C,Pseudomonas_aeruginosa_1_10845,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AU6462_3937,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AU6462_3937,1.54879976589477,#CECFE5
